證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,8636949.0,992227828.0,114.5,115.85,114.2,114.6,-0.7,11453.0
0051,元大中型100,24165.0,1272451.0,53.15,53.15,52.15,52.7,-0.3,175.0
0052,富邦科技,259513.0,25411289.0,98.0,98.95,97.45,97.45,-1.1,532.0
0053,元大電子,4900.0,268929.0,54.7,55.3,54.7,54.95,-0.35,680.0
0055,元大MSCI金融,209028.0,4572283.0,21.74,22.0,21.74,21.91,0.1,381.0
0056,元大高股息,27415598.0,697861353.0,25.52,25.58,25.33,25.44,-0.17,19268.0
0057,富邦摩台,3851.0,314341.0,81.75,81.85,81.75,81.85,-0.7,797.0
0061,元大寶滬深,213613.0,4005146.0,18.65,18.81,18.65,18.81,0.16,521.0
006203,元大MSCI台灣,5341.0,297396.0,55.75,55.8,55.5,55.5,-0.75,180.0
006204,永豐臺灣加權,22840.0,1677958.0,73.5,73.5,73.5,73.5,-0.35,841.0
006205,富邦上証,806832.0,25533468.0,31.65,31.82,31.52,31.81,0.26,171.0
006206,元大上證50,92145.0,2792115.0,30.36,30.44,30.1,30.44,0.26,85.0
006207,FH滬深,108256.0,2654418.0,24.62,24.83,24.48,24.83,0.21,773.0
006208,富邦台50,2484091.0,161329860.0,64.95,65.55,64.6,64.75,-0.45,5038.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,6963444.0,695745004.0,99.4,101.3,98.85,99.1,-1.0,2666.0
00632R,元大台灣50反1,311365511.0,1785533250.0,5.75,5.77,5.69,5.76,0.03,12449.0
00633L,富邦上証正2,10661650.0,424941449.0,39.53,40.38,39.35,40.33,0.89,1760.0
00634R,富邦上証反1,323083.0,1445185.0,4.51,4.51,4.44,4.44,-0.07,79.0
00635U,期元大S&P黃金,135169.0,3100972.0,22.93,22.98,22.89,22.94,0.01,84.0
00636,國泰中國A50,845985.0,18049879.0,21.22,21.5,21.2,21.49,0.27,1232.0
00636K,國泰中國A50+U,200.0,1392.0,6.96,6.96,6.96,6.96,0.01,2.0
00637L,元大滬深300正2,93743261.0,1468550588.0,15.54,15.91,15.49,15.91,0.42,9925.0
00638R,元大滬深300反1,358027.0,3382795.0,9.51,9.51,9.39,9.39,-0.08,126.0
00639,富邦深100,207298.0,2638409.0,12.64,12.8,12.64,12.8,0.15,291.0
00640L,富邦日本正2,117020.0,3338811.0,28.45,28.59,28.45,28.5,-0.02,40.0
00641R,富邦日本反1,276000.0,2666880.0,9.68,9.68,9.64,9.65,-0.02,51.0
00642U,期元大S&P石油,13435819.0,214411454.0,16.03,16.04,15.9,15.98,-0.62,3469.0
00643,群益深証中小,497994.0,7521486.0,15.1,15.21,15.04,15.2,0.17,912.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,112729.0,2941337.0,26.08,26.14,26.08,26.14,0.14,375.0
00646,元大S&P500,342811.0,12847919.0,37.46,37.51,37.42,37.5,-0.31,503.0
00647L,元大S&P500正2,147915.0,7811473.0,52.8,52.95,52.65,52.9,-1.3,105.0
00648R,元大S&P500反1,4679305.0,34511944.0,7.38,7.4,7.36,7.38,0.1,304.0
00650L,FH香港正2,14339500.0,194317799.0,13.35,13.83,13.28,13.74,0.51,1551.0
00651R,FH香港反1,1747240.0,15109495.0,8.73,8.8,8.56,8.58,-0.15,317.0
00652,富邦印度,80883.0,2513027.0,31.15,31.15,31.03,31.03,-0.16,702.0
00653L,富邦印度正2,83000.0,4041190.0,48.6,48.85,48.37,48.37,-0.38,49.0
00654R,富邦印度反1,331050.0,2531751.0,7.65,7.66,7.61,7.65,0.02,65.0
00655L,國泰中國A50正2,2985829.0,84368389.0,28.06,28.7,27.95,28.69,0.73,643.0
00656R,國泰中國A50反1,325000.0,2739830.0,8.47,8.49,8.37,8.37,-0.09,49.0
00657,國泰日經225,1990.0,64413.0,32.57,32.57,32.57,32.57,-0.43,712.0
00657K,國泰日經225+U,200.0,2126.0,10.63,10.63,10.63,10.63,-0.15,2.0
00660,元大歐洲50,7716.0,221547.0,28.82,28.82,28.76,28.82,-0.1,661.0
00661,元大日經225,2038.0,70912.0,35.22,35.22,35.22,35.22,-0.33,946.0
00662,富邦NASDAQ,443208.0,20285296.0,45.9,45.9,45.73,45.77,-0.68,557.0
00663L,國泰臺灣加權正2,237000.0,21631000.0,91.4,93.0,90.9,91.15,-0.9,23.0
00664R,國泰臺灣加權反1,10949838.0,71084905.0,6.51,6.52,6.44,6.51,0.03,744.0
