證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,8787291.0,1045314027.0,119.1,119.25,118.55,119.0,-0.25,13540.0
0051,元大中型100,37425.0,2059950.0,55.1,55.15,54.8,55.05,0.2,153.0
0052,富邦科技,201337.0,21183818.0,104.9,105.6,104.9,105.25,-0.35,462.0
0053,元大電子,5568.0,325654.0,58.7,58.7,58.5,58.5,-0.1,485.0
0055,元大MSCI金融,95034.0,2118958.0,22.3,22.37,22.25,22.31,0.01,258.0
0056,元大高股息,11749214.0,316284374.0,26.91,26.96,26.85,26.94,0.02,9026.0
0057,富邦摩台,4607.0,397371.0,86.55,86.55,86.05,86.3,-0.1,465.0
0061,元大寶滬深,176450.0,3439263.0,19.4,19.52,19.4,19.46,0.01,349.0
006203,元大MSCI台灣,4780.0,274714.0,57.6,57.6,57.5,57.6,-0.15,755.0
006204,永豐臺灣加權,23901.0,1846537.0,77.3,77.35,77.3,77.35,-0.1,335.0
006205,富邦上証,1221099.0,39778592.0,32.3,32.65,32.3,32.55,0.28,654.0
006206,元大上證50,52278.0,1630447.0,31.0,31.3,31.0,31.09,0.1,1057.0
006207,FH滬深,43400.0,1111007.0,25.53,25.65,25.53,25.57,0.17,703.0
006208,富邦台50,2770050.0,190509851.0,68.9,69.0,68.55,68.85,-0.15,5765.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,2313198.0,256253112.0,110.5,111.35,110.2,110.7,0.0,1379.0
00632R,元大台灣50反1,60687961.0,327927059.0,5.41,5.42,5.39,5.41,0.01,3794.0
00633L,富邦上証正2,6851239.0,284199197.0,41.09,41.8,41.09,41.33,0.7,1451.0
00634R,富邦上証反1,73100.0,313800.0,4.33,4.33,4.28,4.3,-0.03,26.0
00635U,期元大S&P黃金,126996.0,3040206.0,23.89,23.97,23.89,23.96,-0.05,128.0
00636,國泰中國A50,921568.0,20596082.0,22.2,22.42,22.2,22.3,0.14,678.0
00636K,國泰中國A50+U,200.0,1484.0,7.42,7.42,7.42,7.42,0.04,2.0
00637L,元大滬深300正2,42737349.0,698526300.0,16.16,16.49,16.16,16.28,0.27,6662.0
00638R,元大滬深300反1,2341300.0,21101537.0,9.07,9.07,8.99,9.04,-0.03,94.0
00639,富邦深100,509080.0,6888628.0,13.45,13.58,13.45,13.53,0.1,794.0
00640L,富邦日本正2,95409.0,2812250.0,29.5,29.55,29.33,29.39,0.16,48.0
00641R,富邦日本反1,448030.0,4238305.0,9.45,9.49,9.43,9.49,0.02,63.0
00642U,期元大S&P石油,6289923.0,99752251.0,15.79,15.9,15.77,15.9,0.32,1346.0
00643,群益深証中小,136646.0,2150394.0,15.67,15.79,15.67,15.69,0.02,474.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,61176.0,1619429.0,26.48,26.5,26.41,26.41,0.03,555.0
00646,元大S&P500,969081.0,36968454.0,38.1,38.21,38.1,38.14,0.05,900.0
00647L,元大S&P500正2,124375.0,6961999.0,56.05,56.05,55.8,55.85,0.05,48.0
00648R,元大S&P500反1,2198240.0,15437720.0,7.02,7.04,7.01,7.04,0.0,119.0
00650L,FH香港正2,5978049.0,92525356.0,15.18,15.62,15.18,15.41,0.36,869.0
00651R,FH香港反1,2312000.0,18151300.0,7.95,7.95,7.81,7.88,-0.07,238.0
00652,富邦印度,400700.0,11532715.0,28.72,28.86,28.72,28.77,0.08,462.0
00653L,富邦印度正2,786884.0,33802161.0,42.94,43.19,42.7,42.86,0.36,247.0
00654R,富邦印度反1,204000.0,1635050.0,8.02,8.04,8.0,8.04,-0.01,33.0
00655L,國泰中國A50正2,1457650.0,42946739.0,29.09,29.75,29.09,29.35,0.46,480.0
00656R,國泰中國A50反1,398000.0,3220190.0,8.15,8.15,8.06,8.09,-0.04,29.0
00657,國泰日經225,140327.0,4603402.0,32.83,32.83,32.8,32.8,-0.18,283.0
00657K,國泰日經225+U,200.0,2186.0,10.93,10.93,10.93,10.93,-0.07,2.0
00660,元大歐洲50,5812.0,178903.0,30.89,30.92,30.8,30.92,-0.07,617.0
