證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,8960233.0,1064028251.0,119.3,119.3,118.4,118.75,-1.55,22127.0
0051,元大中型100,38890.0,2156959.0,55.55,55.65,55.35,55.5,-0.2,188.0
0052,富邦科技,405822.0,42563937.0,105.75,105.75,104.55,104.9,-1.55,732.0
0053,元大電子,3923.0,228134.0,58.3,58.45,58.3,58.45,-0.7,808.0
0055,元大MSCI金融,173338.0,3915559.0,22.55,22.67,22.54,22.56,0.01,319.0
0056,元大高股息,14818392.0,403291822.0,27.23,27.25,27.17,27.24,-0.09,10504.0
0057,富邦摩台,15823.0,1363729.0,86.2,86.55,86.2,86.55,-0.55,755.0
0061,元大寶滬深,264511.0,5160497.0,19.8,19.8,19.4,19.51,-0.35,567.0
006203,元大MSCI台灣,2778.0,159419.0,57.45,57.45,57.45,57.45,-0.7,548.0
006204,永豐臺灣加權,22940.0,1778836.0,77.9,77.9,77.55,77.55,-0.6,637.0
006205,富邦上証,1026137.0,33341913.0,32.74,32.74,32.32,32.43,-0.64,234.0
006206,元大上證50,78834.0,2462783.0,31.5,31.5,31.09,31.24,-0.43,758.0
006207,FH滬深,45601.0,1166396.0,25.63,25.63,25.36,25.36,-0.59,123.0
006208,富邦台50,3710921.0,255068872.0,69.0,69.0,68.55,68.7,-0.9,8754.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,4299054.0,476343803.0,111.15,111.45,110.3,111.05,-1.9,2275.0
00632R,元大台灣50反1,138377640.0,745426970.0,5.38,5.4,5.37,5.39,0.05,5567.0
00633L,富邦上証正2,9723939.0,404499269.0,41.7,42.17,41.18,41.55,-1.37,2421.0
00634R,富邦上証反1,449000.0,1938150.0,4.31,4.34,4.3,4.33,0.08,37.0
00635U,期元大S&P黃金,867216.0,20266599.0,23.4,23.43,23.34,23.34,-0.16,327.0
00636,國泰中國A50,2079356.0,46388113.0,22.3,22.41,22.17,22.29,-0.34,1658.0
00636K,國泰中國A50+U,200.0,1470.0,7.35,7.35,7.35,7.35,-0.12,2.0
00637L,元大滬深300正2,76034129.0,1248852607.0,16.4,16.63,16.25,16.39,-0.5,9778.0
00638R,元大滬深300反1,578070.0,5229985.0,9.03,9.09,9.0,9.06,0.14,92.0
00639,富邦深100,1166387.0,15652926.0,13.45,13.52,13.36,13.39,-0.36,934.0
00640L,富邦日本正2,30100.0,891930.0,29.75,29.75,29.58,29.58,-0.34,21.0
00641R,富邦日本反1,496000.0,4665720.0,9.42,9.43,9.39,9.43,0.07,78.0
00642U,期元大S&P石油,2269722.0,37492620.0,16.52,16.59,16.45,16.45,-0.29,760.0
00643,群益深証中小,1314401.0,20362204.0,15.71,15.71,15.41,15.45,-0.41,708.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,42495.0,1126375.0,26.5,26.57,26.49,26.56,-0.14,398.0
00646,元大S&P500,550109.0,21076130.0,38.35,38.35,38.27,38.29,-0.58,453.0
00647L,元大S&P500正2,635835.0,34957870.0,55.1,55.2,54.85,54.9,-2.15,136.0
00648R,元大S&P500反1,3563092.0,25384045.0,7.11,7.15,7.11,7.15,0.15,225.0
00650L,FH香港正2,6207308.0,91842505.0,14.91,15.02,14.7,14.72,-0.57,1141.0
00651R,FH香港反1,2658000.0,21340670.0,8.0,8.09,7.98,8.06,0.15,166.0
00652,富邦印度,209705.0,6127388.0,29.35,29.35,29.16,29.24,-0.14,449.0
00653L,富邦印度正2,821650.0,36011326.0,43.8,44.05,43.68,43.93,-0.6,293.0
00654R,富邦印度反1,82019.0,651200.0,7.9,7.95,7.9,7.93,0.06,28.0
00655L,國泰中國A50正2,3333039.0,98243541.0,29.52,29.91,29.16,29.44,-1.01,773.0
00656R,國泰中國A50反1,653150.0,5296312.0,8.15,8.15,8.06,8.11,0.13,35.0
00657,國泰日經225,538728.0,17590696.0,32.59,32.69,32.5,32.5,-0.32,750.0
00657K,國泰日經225+U,200.0,2142.0,10.71,10.71,10.71,10.71,-0.11,2.0
00660,元大歐洲50,3339.0,103732.0,31.2,31.23,31.2,31.23,-0.27,803.0
00661,元大日經225,2914.0,100967.0,34.94,34.95,34.94,34.95,-0.24,915.0
00662,富邦NASDAQ,909969.0,44038883.0,48.4,48.49,48.31,48.38,-1.1,893.0
00663L,國泰臺灣加權正2,339110.0,34614175.0,102.5,102.65,101.7,102.05,-1.65,37.0
00664R,國泰臺灣加權反1,11548001.0,70130596.0,6.08,6.1,6.06,6.07,0.04,366.0
00665L,富邦恒生國企正2,16868415.0,154835210.0,9.17,9.35,9.1,9.12,-0.37,2401.0
00666R,富邦恒生國企反1,213000.0,2987320.0,13.9,14.09,13.9,14.09,0.32,63.0
00668,國泰美國道瓊,731838.0,27148964.0,37.04,37.13,37.04,37.05,-0.49,690.0
00668K,國泰美國道瓊+U,200.0,2442.0,12.21,12.21,12.21,12.21,-0.2,2.0
