證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,10249887.0,1189043911.0,116.5,116.6,115.65,115.85,-0.5,9044.0
0051,元大中型100,23790.0,1246289.0,52.6,52.6,52.3,52.35,-0.25,135.0
0052,富邦科技,197130.0,19462756.0,98.75,99.2,98.45,98.55,0.0,302.0
0053,元大電子,5008.0,274610.0,55.1,55.15,55.0,55.15,0.1,1010.0
0055,元大MSCI金融,109811.0,2431299.0,22.19,22.22,22.05,22.08,-0.1,226.0
0056,元大高股息,12532852.0,325940713.0,26.08,26.11,25.92,25.99,-0.08,10924.0
0057,富邦摩台,75575.0,6226360.0,82.65,82.7,82.25,82.25,-0.2,879.0
0061,元大寶滬深,223000.0,4322827.0,19.45,19.46,19.31,19.42,-0.03,1012.0
006203,元大MSCI台灣,6366.0,355610.0,55.9,56.15,55.9,56.15,0.05,1018.0
006204,永豐臺灣加權,23487.0,1731487.0,73.75,73.75,73.75,73.75,-0.2,994.0
006205,富邦上証,583192.0,19086078.0,32.84,32.91,32.62,32.71,-0.06,212.0
006206,元大上證50,28822.0,914359.0,31.77,31.77,31.7,31.72,-0.13,33.0
006207,FH滬深,221791.0,5663414.0,25.66,25.66,25.48,25.52,-0.14,711.0
006208,富邦台50,1773986.0,116439384.0,65.9,65.9,65.4,65.55,-0.05,2903.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,3683233.0,373526613.0,102.4,102.4,100.8,101.15,-0.55,1726.0
00632R,元大台灣50反1,85417138.0,482966714.0,5.63,5.68,5.63,5.66,0.01,4512.0
00633L,富邦上証正2,4788654.0,201344991.0,42.28,42.41,41.68,41.85,-0.45,1259.0
00634R,富邦上証反1,316000.0,1362510.0,4.32,4.34,4.3,4.32,0.01,51.0
00635U,期元大S&P黃金,213565.0,5171728.0,24.16,24.25,24.16,24.25,0.06,123.0
00636,國泰中國A50,851697.0,19204821.0,22.58,22.63,22.45,22.52,-0.06,746.0
00636K,國泰中國A50+U,200.0,1480.0,7.4,7.4,7.4,7.4,-0.01,2.0
00637L,元大滬深300正2,57438581.0,953829234.0,16.69,16.74,16.47,16.52,-0.17,5830.0
00638R,元大滬深300反1,1073000.0,9756260.0,9.08,9.14,9.05,9.09,0.01,62.0
00639,富邦深100,515130.0,6887524.0,13.4,13.43,13.34,13.37,0.0,171.0
00640L,富邦日本正2,388787.0,10585861.0,27.15,27.34,27.15,27.28,0.19,83.0
00641R,富邦日本反1,842754.0,8278589.0,9.83,9.85,9.81,9.83,-0.04,119.0
00642U,期元大S&P石油,7014010.0,115995203.0,16.52,16.61,16.48,16.51,0.63,1642.0
00643,群益深証中小,428079.0,6572659.0,15.38,15.41,15.32,15.37,0.0,58.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,98373.0,2504488.0,25.46,25.5,25.43,25.48,0.07,568.0
00646,元大S&P500,395750.0,14751055.0,37.25,37.34,37.25,37.34,0.47,417.0
00647L,元大S&P500正2,337519.0,17781086.0,52.6,52.8,52.6,52.7,1.2,135.0
00648R,元大S&P500反1,3307409.0,24210910.0,7.33,7.33,7.31,7.32,-0.09,297.0
00650L,FH香港正2,15205800.0,241764807.0,16.18,16.28,15.6,15.78,-0.45,2119.0
00651R,FH香港反1,2140000.0,16798720.0,7.78,7.91,7.77,7.86,0.09,234.0
00652,富邦印度,238958.0,7071030.0,29.6,29.66,29.45,29.45,-0.15,488.0
