證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,9239321.0,1114132382.0,120.1,120.95,120.0,120.85,1.85,8739.0
0051,元大中型100,54034.0,2995065.0,55.2,55.6,55.2,55.4,0.35,157.0
0052,富邦科技,327219.0,35132209.0,106.85,107.8,106.6,107.55,2.3,521.0
0053,元大電子,20187.0,1200408.0,59.5,59.7,59.3,59.65,1.15,991.0
0055,元大MSCI金融,104953.0,2338135.0,22.3,22.32,22.25,22.26,-0.05,255.0
0056,元大高股息,18358328.0,497943668.0,27.03,27.17,27.02,27.15,0.21,10767.0
0057,富邦摩台,6923.0,604798.0,86.95,87.85,86.95,87.85,1.55,892.0
0061,元大寶滬深,71573.0,1394991.0,19.5,19.55,19.46,19.48,0.02,944.0
006203,元大MSCI台灣,4063.0,235794.0,58.0,58.35,58.0,58.35,0.75,871.0
006204,永豐臺灣加權,47621.0,3719821.0,77.85,78.4,77.85,78.4,1.05,901.0
006205,富邦上証,721136.0,23504936.0,32.65,32.69,32.53,32.53,-0.02,297.0
006206,元大上證50,38765.0,1211795.0,31.35,31.36,31.21,31.21,0.12,44.0
006207,FH滬深,95422.0,2440627.0,25.68,25.68,25.55,25.55,-0.02,16.0
006208,富邦台50,2699897.0,188244419.0,69.5,69.95,69.4,69.85,1.0,3245.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,3693085.0,418019074.0,112.3,113.85,112.25,113.65,2.95,2035.0
00632R,元大台灣50反1,155903310.0,833411431.0,5.37,5.37,5.33,5.34,-0.07,10154.0
00633L,富邦上証正2,4798476.0,198665143.0,41.61,41.86,41.12,41.14,-0.19,1070.0
00634R,富邦上証反1,301000.0,1295620.0,4.3,4.32,4.29,4.31,0.01,23.0
00635U,期元大S&P黃金,208012.0,4992147.0,23.99,24.02,23.97,24.0,0.04,140.0
00636,國泰中國A50,843306.0,18810688.0,22.35,22.41,22.28,22.28,-0.02,1078.0
00636K,國泰中國A50+U,200.0,1484.0,7.42,7.42,7.42,7.42,0.0,2.0
00637L,元大滬深300正2,40254453.0,656937914.0,16.4,16.5,16.19,16.19,-0.09,5324.0
00638R,元大滬深300反1,729897.0,6577744.0,9.02,9.05,8.99,9.05,0.01,98.0
00639,富邦深100,793634.0,10749066.0,13.55,13.58,13.51,13.52,-0.01,88.0
00640L,富邦日本正2,76000.0,2229760.0,29.33,29.41,29.29,29.41,0.02,39.0
00641R,富邦日本反1,265000.0,2508930.0,9.48,9.49,9.44,9.47,-0.02,60.0
00642U,期元大S&P石油,7603196.0,124265061.0,16.36,16.41,16.3,16.35,0.45,1765.0
00643,群益深証中小,180399.0,2836294.0,15.63,15.77,15.62,15.73,0.04,141.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,36023.0,951731.0,26.41,26.46,26.39,26.45,0.04,807.0
00646,元大S&P500,621779.0,23958001.0,38.48,38.62,38.46,38.57,0.43,695.0
00647L,元大S&P500正2,107780.0,6149492.0,56.95,57.15,56.95,57.1,1.25,69.0
00648R,元大S&P500反1,2338537.0,16264578.0,6.97,6.97,6.95,6.95,-0.09,283.0
00650L,FH香港正2,6367441.0,97897672.0,15.4,15.57,15.19,15.33,-0.08,956.0
00651R,FH香港反1,923000.0,7268110.0,7.89,7.92,7.83,7.9,0.02,104.0
00652,富邦印度,284101.0,8168244.0,28.77,28.89,28.63,28.85,0.08,330.0
00653L,富邦印度正2,831272.0,35698942.0,42.86,43.35,42.71,43.1,0.24,331.0
