證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,28203249.0,3334058723.0,118.1,118.55,118.0,118.1,0.9,20855.0
0051,元大中型100,64644.0,3392976.0,52.45,52.7,52.35,52.4,-0.05,151.0
0052,富邦科技,566342.0,57089149.0,100.65,101.0,100.6,100.7,0.7,734.0
0053,元大電子,13248.0,739400.0,55.9,55.9,55.8,55.85,0.15,824.0
0055,元大MSCI金融,588133.0,13117325.0,22.13,22.39,22.13,22.24,0.14,388.0
0056,元大高股息,19646580.0,511563662.0,26.05,26.07,26.0,26.02,0.04,15128.0
0057,富邦摩台,2863.0,239493.0,84.0,84.0,83.85,83.85,0.65,849.0
0061,元大寶滬深,565361.0,11303957.0,19.65,20.2,19.65,20.19,0.61,389.0
006203,元大MSCI台灣,10899.0,619954.0,56.9,57.0,56.8,57.0,0.2,537.0
006204,永豐臺灣加權,26244.0,1959944.0,74.6,74.8,74.6,74.7,0.45,810.0
006205,富邦上証,2610045.0,88225193.0,33.5,34.13,33.35,34.01,0.98,728.0
006206,元大上證50,225324.0,7411808.0,32.4,33.25,32.4,33.18,1.09,1018.0
006207,FH滬深,575463.0,15096267.0,25.96,26.62,25.96,26.55,0.72,874.0
006208,富邦台50,5341268.0,357309394.0,66.6,67.05,66.6,66.85,0.55,6828.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,4393939.0,458010252.0,104.0,104.9,103.85,104.0,1.4,2158.0
00632R,元大台灣50反1,125863687.0,702844666.0,5.58,5.6,5.57,5.59,-0.04,11962.0
00633L,富邦上証正2,19271448.0,863099084.0,43.72,45.6,43.5,45.3,2.45,3221.0
00634R,富邦上証反1,1282868.0,5331456.0,4.24,4.24,4.13,4.14,-0.14,198.0
00635U,期元大S&P黃金,929804.0,22975247.0,24.63,24.78,24.63,24.7,0.32,412.0
00636,國泰中國A50,2329217.0,54592172.0,23.1,23.63,23.06,23.56,0.7,1589.0
00636K,國泰中國A50+U,200.0,1554.0,7.77,7.77,7.77,7.77,0.24,2.0
00637L,元大滬深300正2,129933354.0,2285192905.0,17.22,17.98,17.16,17.85,0.93,15686.0
00638R,元大滬深300反1,2702695.0,23704465.0,8.95,8.95,8.67,8.73,-0.25,417.0
00639,富邦深100,1413239.0,19675262.0,13.6,13.99,13.6,13.96,0.44,869.0
00640L,富邦日本正2,749891.0,20119936.0,26.83,26.95,26.75,26.81,-0.36,168.0
00641R,富邦日本反1,1508100.0,14933793.0,9.85,9.94,9.85,9.94,0.11,147.0
00642U,期元大S&P石油,5571173.0,94274091.0,16.97,16.97,16.85,16.85,0.22,1069.0
00643,群益深証中小,292452.0,4598060.0,15.6,15.83,15.57,15.79,0.36,620.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,129267.0,3265689.0,25.33,25.33,25.21,25.23,-0.17,606.0
00646,元大S&P500,1102635.0,41281816.0,37.5,37.53,37.39,37.41,0.11,753.0
00647L,元大S&P500正2,434886.0,23207183.0,53.3,53.5,53.3,53.4,0.7,102.0
00648R,元大S&P500反1,2304050.0,16708834.0,7.27,7.27,7.24,7.24,-0.08,211.0
00650L,FH香港正2,11101671.0,181847440.0,16.31,16.52,16.21,16.3,0.33,1326.0
00651R,FH香港反1,1460130.0,11243221.0,7.74,7.75,7.67,7.72,-0.1,238.0
00652,富邦印度,450298.0,13401156.0,29.5,29.91,29.5,29.9,0.43,1254.0
00653L,富邦印度正2,360687.0,16023695.0,44.23,44.61,44.14,44.29,0.64,174.0
00654R,富邦印度反1,517000.0,4093370.0,7.99,7.99,7.9,7.92,-0.08,51.0
00655L,國泰中國A50正2,4238320.0,134405409.0,31.11,32.43,30.93,32.12,1.72,1307.0
00656R,國泰中國A50反1,1021182.0,8041063.0,7.97,7.98,7.79,7.83,-0.21,97.0
00657,國泰日經225,108680.0,3355950.0,30.98,30.98,30.88,30.91,-0.3,688.0
00657K,國泰日經225+U,200.0,2038.0,10.19,10.19,10.19,10.19,-0.07,2.0
00660,元大歐洲50,18061.0,550854.0,30.42,30.62,30.42,30.62,0.48,770.0
00661,元大日經225,5122.0,168392.0,32.91,32.91,32.85,32.89,-0.37,9.0
00662,富邦NASDAQ,772747.0,34778182.0,44.87,45.1,44.83,45.03,0.3,623.0
00663L,國泰臺灣加權正2,7006.0,671472.0,96.0,96.15,95.4,95.4,1.1,6.0
00664R,國泰臺灣加權反1,3586547.0,22674145.0,6.32,6.34,6.3,6.34,-0.03,477.0
00665L,富邦恒生國企正2,22083817.0,227442555.0,10.32,10.39,10.2,10.2,0.1,2263.0
00666R,富邦恒生國企反1,370622.0,4965953.0,13.42,13.46,13.34,13.45,-0.12,85.0
00668,國泰美國道瓊,12597.0,475910.0,37.79,37.82,37.72,37.75,0.1,69.0
00668K,國泰美國道瓊+U,200.0,2494.0,12.47,12.47,12.47,12.47,0.09,2.0
00669R,國泰美國道瓊反1,9252167.0,71646566.0,7.76,7.76,7.73,7.75,-0.06,923.0
00670L,富邦NASDAQ正2,4732215.0,253620784.0,53.4,53.8,53.4,53.7,1.25,1370.0
00671R,富邦NASDAQ反1,9852402.0,62066968.0,6.31,6.32,6.29,6.3,-0.08,616.0
00673R,期元大S&P原油反1,44460530.0,382506445.0,8.59,8.63,8.58,8.63,-0.14,3484.0
00674R,期元大S&P黃金反1,1918149.0,23475235.0,12.28,12.29,12.2,12.25,-0.18,316.0
00675L,富邦臺灣加權正2,928699.0,38616070.0,41.5,41.85,41.42,41.45,0.45,607.0
00676R,富邦臺灣加權反1,4922665.0,17091975.0,3.47,3.48,3.46,3.48,-0.01,339.0
00678,群益NBI生技,346165.0,9188572.0,26.55,26.61,26.54,26.54,0.07,869.0
00680L,元大美債20正2,10311190.0,127721667.0,12.41,12.44,12.32,12.34,-0.14,1577.0
00681R,元大美債20反1,885000.0,15691710.0,17.67,17.76,17.66,17.76,0.09,35.0
00682U,期元大美元指數,151283.0,3059416.0,20.25,20.26,20.2,20.22,-0.09,82.0
00683L,期元大美元指正2,2288650.0,47808253.0,20.99,20.99,20.83,20.89,-0.16,504.0
00684R,期元大美元指反1,8000.0,130670.0,16.34,16.35,16.33,16.35,0.04,7.0
00685L,群益臺灣加權正2,114469.0,4223521.0,36.88,37.1,36.78,36.8,0.33,74.0
00686R,群益臺灣加權反1,264420.0,996580.0,3.77,3.78,3.76,3.77,-0.01,39.0
00688L,國泰20年美債正2,1982979.0,24368605.0,12.3,12.34,12.23,12.24,-0.14,321.0
00689R,國泰20年美債反1,15000.0,275230.0,18.35,18.38,18.33,18.38,0.06,6.0
00690,兆豐藍籌30,401599.0,10607512.0,26.3,26.55,26.3,26.41,0.22,577.0
00692,富邦公司治理,4589815.0,131065688.0,28.5,28.64,28.49,28.5,0.15,2579.0
00693U,期街口S&P黃豆,210230.0,5693651.0,27.0,27.15,27.0,27.15,0.15,45.0
