證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,6860743.0,780649790.0,114.5,114.5,113.25,113.4,-0.5,9245.0
0051,元大中型100,37719.0,1980786.0,52.55,52.7,52.25,52.3,0.0,163.0
0052,富邦科技,75884.0,7361431.0,97.5,97.65,96.6,96.7,-0.45,307.0
0053,元大電子,6890.0,373699.0,54.7,54.7,54.1,54.1,-0.35,861.0
0055,元大MSCI金融,162529.0,3543447.0,21.81,21.92,21.69,21.75,-0.01,329.0
0056,元大高股息,13993465.0,357837282.0,25.53,25.62,25.5,25.53,0.03,8926.0
0057,富邦摩台,4494.0,363842.0,81.2,81.2,80.7,80.7,-0.5,498.0
0061,元大寶滬深,62178.0,1159685.0,18.77,18.78,18.59,18.65,-0.03,134.0
006203,元大MSCI台灣,2844.0,156324.0,55.35,55.35,55.05,55.05,-0.15,504.0
006204,永豐臺灣加權,233151.0,16990344.0,73.35,73.45,72.85,72.85,-0.35,593.0
006205,富邦上証,328443.0,10340875.0,31.58,31.82,31.44,31.47,-0.11,131.0
006206,元大上證50,35721.0,1079445.0,30.35,30.36,30.12,30.12,-0.04,933.0
006207,FH滬深,62770.0,1544361.0,24.7,24.74,24.6,24.62,-0.12,780.0
006208,富邦台50,2612160.0,168072823.0,64.7,64.8,64.0,64.15,-0.35,4211.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,5868567.0,577099264.0,99.25,99.25,97.45,97.65,-0.75,2181.0
00632R,元大台灣50反1,114010861.0,658923824.0,5.75,5.81,5.74,5.8,0.02,4302.0
00633L,富邦上証正2,4572625.0,180973751.0,39.66,39.95,39.37,39.59,-0.27,1061.0
00634R,富邦上証反1,301000.0,1351430.0,4.49,4.5,4.47,4.5,0.03,42.0
00635U,期元大S&P黃金,190867.0,4404699.0,23.08,23.1,23.05,23.07,-0.03,134.0
00636,國泰中國A50,232632.0,4960654.0,21.3,21.42,21.25,21.3,-0.06,1032.0
00636K,國泰中國A50+U,200.0,1386.0,6.93,6.93,6.93,6.93,-0.04,2.0
00637L,元大滬深300正2,59342949.0,925614489.0,15.58,15.73,15.5,15.58,-0.11,6028.0
00638R,元大滬深300反1,713098.0,6758232.0,9.45,9.5,9.45,9.48,0.03,69.0
00639,富邦深100,147095.0,1862607.0,12.87,12.87,12.64,12.64,-0.14,1028.0
00640L,富邦日本正2,79130.0,2289453.0,29.0,29.0,28.88,28.96,0.23,29.0
00641R,富邦日本反1,100054.0,957616.0,9.57,9.59,9.56,9.56,-0.04,23.0
00642U,期元大S&P石油,6151885.0,97422540.0,15.7,15.93,15.7,15.92,0.56,1630.0
00643,群益深証中小,210091.0,3163400.0,15.17,15.17,14.97,14.98,-0.16,994.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,54946.0,1441675.0,26.23,26.27,26.21,26.21,0.09,299.0
00646,元大S&P500,517606.0,19619767.0,37.79,37.96,37.79,37.93,0.55,601.0
00647L,元大S&P500正2,269312.0,14492967.0,53.85,53.95,53.75,53.85,1.45,93.0
00648R,元大S&P500反1,5412100.0,39639602.0,7.32,7.33,7.31,7.32,-0.12,302.0
00650L,FH香港正2,9530105.0,129276600.0,13.5,13.77,13.33,13.57,0.02,1174.0
00651R,FH香港反1,1366058.0,11768359.0,8.62,8.68,8.55,8.59,-0.03,144.0
00652,富邦印度,101241.0,3128746.0,31.11,31.11,30.87,30.89,-0.16,159.0
00653L,富邦印度正2,44000.0,2116000.0,47.56,48.23,47.56,48.11,0.08,34.0
00654R,富邦印度反1,42000.0,321840.0,7.66,7.69,7.66,7.67,0.01,15.0
00655L,國泰中國A50正2,2148126.0,60403634.0,28.1,28.39,27.95,28.16,-0.19,340.0
00656R,國泰中國A50反1,215000.0,1815980.0,8.47,8.47,8.42,8.45,0.03,25.0
00657,國泰日經225,2369.0,76971.0,32.94,32.94,32.94,32.94,0.12,976.0
00657K,國泰日經225+U,200.0,2140.0,10.7,10.7,10.7,10.7,0.03,2.0
00660,元大歐洲50,4559.0,130859.0,28.76,28.76,28.75,28.75,0.13,970.0
00661,元大日經225,1036.0,36167.0,,,,,0.0,979.0
00662,富邦NASDAQ,170408.0,7883758.0,46.4,46.4,46.22,46.29,0.57,199.0
00663L,國泰臺灣加權正2,510000.0,46264900.0,91.1,91.1,89.75,89.85,-0.6,30.0
00664R,國泰臺灣加權反1,4025284.0,26277448.0,6.5,6.56,6.5,6.56,0.02,325.0
00665L,富邦恒生國企正2,20020870.0,172864154.0,8.55,8.8,8.46,8.63,0.02,2061.0
00666R,富邦恒生國企反1,198000.0,2955860.0,15.01,15.09,14.8,14.93,-0.03,44.0
00668,國泰美國道瓊,17939.0,680783.0,37.95,37.99,37.92,37.98,0.62,369.0
00668K,國泰美國道瓊+U,300.0,3706.0,12.36,12.36,12.34,12.34,0.18,3.0
00669R,國泰美國道瓊反1,17971064.0,140987820.0,7.84,7.85,7.83,7.85,-0.12,1138.0
00670L,富邦NASDAQ正2,2838891.0,158846088.0,56.05,56.1,55.75,55.95,1.3,1024.0
00671R,富邦NASDAQ反1,11545262.0,71951321.0,6.21,6.25,6.21,6.24,-0.08,525.0
00673R,期元大S&P原油反1,19196318.0,179514811.0,9.42,9.42,9.3,9.3,-0.36,1728.0
00674R,期元大S&P黃金反1,357150.0,4709111.0,13.2,13.2,13.16,13.19,0.02,101.0
00675L,富邦臺灣加權正2,752610.0,29675325.0,39.81,39.82,39.11,39.26,-0.2,420.0
00676R,富邦臺灣加權反1,5460670.0,19611521.0,3.57,3.61,3.57,3.6,0.01,293.0
00678,群益NBI生技,615670.0,16370092.0,26.7,26.7,26.56,26.59,0.25,870.0
00680L,元大美債20正2,7480529.0,93773189.0,12.55,12.59,12.5,12.55,-0.12,1084.0
00681R,元大美債20反1,397000.0,7053630.0,17.73,17.79,17.73,17.79,0.08,45.0
00682U,期元大美元指數,142003.0,2966432.0,20.93,20.93,20.87,20.9,-0.05,48.0
00683L,期元大美元指正2,793105.0,17629750.0,22.14,22.28,22.14,22.25,-0.08,224.0
00684R,期元大美元指反1,5000.0,79430.0,15.89,15.89,15.87,15.87,0.01,5.0
00685L,群益臺灣加權正2,92651.0,3244977.0,35.27,35.32,34.72,34.83,-0.19,56.0
00686R,群益臺灣加權反1,110009.0,428065.0,3.88,3.92,3.88,3.92,0.03,63.0
00688L,國泰20年美債正2,900000.0,11195150.0,12.45,12.46,12.4,12.42,-0.11,224.0
00689R,國泰20年美債反1,323000.0,5966900.0,18.46,18.5,18.45,18.49,0.1,15.0
00690,兆豐藍籌30,262452.0,6739844.0,25.8,25.83,25.6,25.6,-0.13,761.0
00692,富邦公司治理,995121.0,27519801.0,27.74,27.78,27.54,27.55,-0.14,1315.0
00693U,期街口S&P黃豆,55000.0,1439590.0,26.2,26.22,26.13,26.19,-0.03,19.0
00700,富邦恒生國企,202461.0,2650448.0,13.05,13.18,12.94,13.07,0.04,172.0
00701,國泰股利精選30,1031922.0,23030755.0,22.37,22.46,22.22,22.25,-0.1,854.0
00702,國泰標普低波高息,105457.0,2335120.0,22.25,22.25,22.09,22.13,0.25,466.0
00703,台新MSCI中國,6082.0,95934.0,15.8,16.02,15.8,15.93,0.13,973.0
00706L,期元大S&P日圓正2,1407396.0,13496682.0,9.62,9.62,9.57,9.61,-0.08,269.0
00707R,期元大S&P日圓反1,10000.0,245850.0,24.58,24.6,24.57,24.6,0.17,5.0
00708L,期元大S&P黃金正2,732155.0,17494273.0,23.92,24.0,23.87,23.92,-0.09,107.0
00709,富邦歐洲,68193.0,1558233.0,22.8,22.9,22.8,22.88,0.13,1046.0
00710B,FH彭博非投等債,201709.0,3649475.0,18.15,18.15,18.05,18.1,0.03,64.0
00711B,FH彭博新興債,132769.0,2199231.0,16.58,16.59,16.56,16.59,0.12,405.0
00712,FH富時不動產,2623776.0,27581579.0,10.53,10.53,10.5,10.51,0.04,1247.0
00713,元大台灣高息低波,11531337.0,446991258.0,39.04,39.04,38.61,38.68,-0.14,7055.0
00714,群益道瓊美國地產,132868.0,2537560.0,19.14,19.14,19.08,19.09,0.09,140.0
00715L,期街口布蘭特正2,36932632.0,499752661.0,13.26,13.69,13.25,13.68,0.87,5767.0
00717,富邦美國特別股,488122.0,7155608.0,14.65,14.68,14.6,14.66,0.01,983.0
