證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,11826560.0,1321964557.0,111.2,112.2,111.15,111.8,0.5,9838.0
0051,元大中型100,15056.0,782491.0,51.75,52.0,51.75,51.85,0.1,146.0
0052,富邦科技,277503.0,26110480.0,93.55,94.5,93.55,94.15,0.5,421.0
0053,元大電子,4999.0,263499.0,52.7,53.05,52.7,53.05,0.35,1002.0
0055,元大MSCI金融,445213.0,9705254.0,21.69,21.84,21.69,21.83,0.14,307.0
0056,元大高股息,17681355.0,452741734.0,25.45,25.68,25.45,25.66,0.2,11065.0
0057,富邦摩台,3989.0,315786.0,79.4,79.6,79.2,79.6,0.55,991.0
0061,元大寶滬深,188404.0,3608841.0,19.07,19.25,19.06,19.18,0.23,455.0
006203,元大MSCI台灣,3696.0,199888.0,54.05,54.35,54.05,54.3,0.4,402.0
006204,永豐臺灣加權,24063.0,1731194.0,71.65,72.05,71.65,72.0,0.4,889.0
006205,富邦上証,1098340.0,35533726.0,32.22,32.5,32.15,32.32,0.3,465.0
006206,元大上證50,81850.0,2561705.0,31.0,31.47,31.0,31.26,0.29,1068.0
006207,FH滬深,123536.0,3131742.0,25.16,25.43,25.16,25.39,0.31,76.0
006208,富邦台50,3468263.0,219101426.0,62.8,63.45,62.75,63.2,0.4,3942.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,5982725.0,571442878.0,94.7,96.25,94.7,95.9,1.4,2116.0
00632R,元大台灣50反1,215118304.0,1254578394.0,5.87,5.87,5.8,5.82,-0.05,8393.0
00633L,富邦上証正2,9019933.0,372217205.0,41.2,41.62,40.8,41.2,0.5,1998.0
00634R,富邦上証反1,2725430.0,11921014.0,4.4,4.4,4.36,4.39,-0.02,94.0
00635U,期元大S&P黃金,960994.0,22746869.0,23.64,23.74,23.63,23.7,-0.19,254.0
00636,國泰中國A50,1178653.0,26115450.0,22.1,22.3,22.03,22.17,0.21,1073.0
00636K,國泰中國A50+U,200.0,1452.0,7.26,7.26,7.26,7.26,0.12,2.0
00637L,元大滬深300正2,88659675.0,1444427452.0,16.23,16.43,16.13,16.29,0.18,9127.0
00638R,元大滬深300反1,900155.0,8322675.0,9.26,9.3,9.21,9.26,-0.06,135.0
00639,富邦深100,964070.0,12748833.0,13.16,13.29,13.05,13.18,0.16,717.0
00640L,富邦日本正2,384978.0,10149766.0,26.25,26.53,26.19,26.44,0.26,117.0
